Words,Word Frequency,Part of Speech
grammars,5,NNS
18,2,CD
considers,1,NNS
feature,2,VBP
mind,2,IN
constitute,1,NN
rudiments,1,NNS
19,1,CD
by,4,IN
way,21,NN
contrast,2,NN
commonly,5,RB
logic,1,JJ
computational,3,JJ
20,3,CD
21,4,CD
in,38,IN
residing,1,VBG
relations,6,NNS
propositions,1,NNS
alfred,1,VBD
tarski,1,JJ
bertrand,1,NN
russell,1,NN
logicians,1,VBZ
tool,4,JJ
yet,2,RB
enables,1,VBZ
exchange,1,NN
verbal,1,JJ
express,7,NN
manipulate,1,NN
objects,2,VBZ
functional,4,JJ
theories,19,NNS
explain,1,VBP
result,3,NN
adaptive,1,JJ
tailored,1,VBN
needs,1,VBZ
users,1,NNS
22,3,CD
23,1,CD
pragmatic,1,JJ
interactive,1,JJ
frameworks,2,NNS
sociolinguistics,2,NNS
anthropology,1,VBP
functionalist,3,JJ
tend,3,VBP
dynamic,2,JJ
phenomena,4,NN
always,2,RB
employed,1,VBD
speakers,22,NNS
places,2,NNS
importance,2,NN
typology,4,NN
classification,1,NN
features,9,VBZ
shown,5,VBN
processes,7,NNS
grammaticalization,1,NN
follow,4,VBP
trajectories,1,NNS
partly,1,RB
dependent,2,JJ
pragmatics,4,NNS
central,2,JJ
works,2,NNS
ordinary,1,JJ
j,1,NN
l,3,NN
austin,1,NN
paul,1,NN
grice,1,NN
john,5,NN
searle,1,NN
o,2,VBP
quine,1,NN
24,1,CD
distinctive,2,JJ
charles,3,NNS
hockett,1,VBP
design,1,NN
25,1,CD
apart,1,NN
non,5,NN
animals,6,NNS
bees,2,VBP
apes,2,NNS
consist,4,VBP
finite,4,JJ
usually,6,RB
limited,2,VBD
expressed,3,VBD
26,1,CD
open,5,JJ
ended,1,VBD
productive,1,JJ
vast,1,JJ
create,2,NN
new,16,JJ
based,19,VBN
dual,1,JJ
code,2,NN
meaningless,1,NN
sounds,36,VBZ
letters,4,NNS
gestures,5,NNS
infinite,3,JJ
larger,8,JJR
units,11,NNS
27,2,CD
demonstrated,2,JJ
australian,3,JJ
bird,1,NN
chestnut,1,NN
crowned,1,VBD
babbler,1,RBR
capable,4,JJ
acoustic,1,JJ
arrangements,1,NNS
functionally,2,RB
distinct,7,JJ
vocalizations,1,NNS
28,1,CD
additionally,1,RB
pied,1,JJ
babblers,1,NNS
generate,1,VBP
vocalisations,1,NNS
composed,4,VBN
sound,22,JJ
type,13,NN
distinguished,6,VBD
repeated,1,VBD
29,1,CD
several,11,JJ
species,4,NNS
proved,1,VBD
able,5,JJ
forms,6,NNS
bonobo,1,VBP
named,1,VBN
kanzi,1,NN
learned,3,VBN
lexigrams,1,NNS
similarly,3,RB
birds,1,NNS
whales,1,NNS
songs,1,NNS
imitating,1,VBG
members,5,NNS
large,6,JJ
numbers,1,NNS
note,3,VBP
none,3,NN
average,2,NN
acquired,1,VBD
anything,2,NN
resembling,1,VBG
31,2,CD
differ,7,NN
employ,4,NN
semantic,5,JJ
categories,10,NNS
noun,15,VBP
verb,11,JJ
present,3,JJ
past,5,NN
exceedingly,1,RB
it,6,PRP
property,2,NN
recursivity,1,NN
phrase,11,NN
chimpanzee,1,NN
lips,6,VBZ
clause,2,NN
i,12,JJ
dog,3,NN
running,1,VBG
whose,1,WP$
adaptability,1,NN
referred,2,VBD
means,9,NNS
channel,2,VBP
medium,1,NN
for,21,IN
auditive,1,JJ
whereas,16,NNS
32,1,CD
unusual,1,JJ
imagined,1,JJ
hypothetical,1,JJ
events,4,NNS
took,2,VBD
place,10,NN
happen,1,JJ
future,3,NN
event,3,NN
location,3,NN
sources,1,NNS
nectar,1,RB
sight,1,VBD
degree,7,JJ
considered,12,VBN
regard,1,NN
assumptions,2,NNS
idea,4,NN
imagine,1,NN
appearing,2,VBG
nothing,1,NN
final,3,JJ
earlier,1,JJR
pre,7,NN
among,11,IN
ancestors,1,NNS
continuity,4,VBP
viewpoint,1,JJ
trait,1,NN
compared,1,VBN
found,2,RB
appeared,1,VBD
suddenly,1,JJ
transition,1,NN
hominids,1,NNS
man,7,NN
discontinuity,2,NN
pioneered,1,VBD
genetically,1,RB
34,2,CD
prominent,2,NN
he,2,PRP
suggests,1,VBZ
scholars,4,NNS
interested,1,JJ
talk,1,NN
beside,1,IN
point,5,NN
35,1,CD
proposes,1,NNS
perhaps,2,RB
random,1,JJ
mutation,1,NN
reorganized,1,VBD
implanting,1,VBG
otherwise,2,RB
36,2,CD
though,6,IN
cautioning,1,VBG
taking,1,VBG
story,1,NN
literally,2,RB
insists,1,VBZ
fairy,1,NN
tales,1,NNS
told,1,VBD
evolutionary,2,JJ
including,5,VBG
majority,3,NN
envision,1,NN
those,2,DT
psychologist,2,JJ
steven,2,JJ
pinker,1,NN
hold,1,NN
precedents,1,NNS
socially,2,RB
michael,1,VBP
tomasello,1,JJ
primates,2,NNS
either,6,DT
gestural,1,JJ
vocal,7,JJ
assist,1,NN
cooperation,1,NN
37,1,CD
other,5,JJ
models,4,NNS
already,5,RB
espoused,1,VBN
humboldt,2,NN
darwin,2,NN
archaeologist,1,NN
mithen,1,VBD
38,1,CD
stephen,1,NN
anderson,1,NN
states,1,NNS
age,8,NN
estimated,1,VBD
60,5,CD
100,3,CD
39,1,CD
researchers,1,NNS
find,1,VBP
plausible,1,JJ
suggest,2,NN
invented,2,VBN
thus,3,RB
related,5,VBN
longer,1,JJR
recovered,1,JJ
limitations,1,NNS
methods,1,NNS
available,2,JJ
reconstruction,1,NN
40,1,CD
because,6,IN
emerged,1,VBN
prehistory,1,NN
existence,1,NN
written,6,VBN
records,1,NNS
left,3,VBD
historical,2,JJ
traces,2,NNS
believed,2,VBD
comparable,1,JJ
observed,1,JJ
look,1,NN
display,1,NN
seen,6,VBN
analogous,2,JJ
and,2,CC
fossils,2,NNS
inspected,1,VBD
physical,2,JJ
adaptation,1,NN
abilities,1,NNS
size,1,NN
relative,4,JJ
body,2,NN
mass,1,NN
presence,2,NN
larynx,2,NN
advanced,3,VBD
production,8,NN
tools,1,NNS
manufactured,1,VBD
artifacts,1,NNS
41,1,CD
undisputed,1,JJ
australopithecines,1,NNS
significantly,1,RB
great,2,JJ
2017,1,CD
ardipithecus,1,NN
ramidus,1,NN
challenges,1,VBZ
belief,2,JJ
42,1,CD
scholarly,1,JJ
opinions,1,NNS
developments,1,NNS
appearance,1,RB
genus,1,VBP
homo,5,CD
million,6,CD
ago,6,IN
assume,1,JJ
primitive,2,JJ
habilis,1,NN
erectus,1,NN
heidelbergensis,1,NN
0,1,CD
proper,1,JJ
anatomically,1,RB
sapiens,1,VBZ
upper,4,JJ
paleolithic,1,JJ
revolution,1,NN
less,5,VBD
43,1,CD
44,1,CD
developing,3,VBG
descriptions,2,NNS
2000,1,CD
brahmi,1,NN
script,7,NN
examining,1,VBG
theoretical,4,JJ
viewpoints,1,NNS
45,1,CD
subdisciplines,1,NNS
conducted,1,VBN
disciplinary,1,JJ
angles,1,NNS
descriptive,2,VBP
examines,1,NNS
single,25,JJ
develops,1,VBZ
best,2,JJS
conceptualize,1,NN
define,5,NN
data,1,NNS
various,1,JJ
extant,1,JJ
purposes,2,NNS
informing,1,VBG
description,1,NN
experimental,1,JJ
testing,2,VBG
builds,1,NNS
construct,6,NN
aimed,1,VBN
processing,3,NN
hypotheses,1,NNS
lexical,2,JJ
trace,1,NN
individual,3,JJ
histories,1,NNS
reconstruct,1,VBP
trees,2,NNS
families,14,NNS
comparative,3,VBP
46,2,CD
p,12,NN
ini,1,NN
5th,1,CD
bc,7,NN
grammarian,1,JJ
959,1,CD
sanskrit,1,NN
morphology,10,NN
sumerian,5,JJ
scribes,1,NN
differences,5,NNS
akkadian,1,JJ
1900,1,CD
subsequent,1,JJ
traditions,1,NNS
cultures,4,NNS
adopted,3,VBD
47,1,CD
17th,1,CD
ad,2,NN
port,1,NN
royal,1,NN
grammarians,1,NNS
reflection,1,VBP
basics,1,NNS
18th,1,CD
british,1,JJ
philologist,1,NN
expert,1,NN
william,1,NN
jones,1,NNS
sparked,1,VBD
rise,2,NN
48,1,CD
broadened,1,VBD
wilhelm,1,NN
von,1,NN
static,1,JJ
interconnected,1,JJ
oppositions,1,NNS
introducing,1,VBG
diachronic,1,JJ
synchronic,1,JJ
analyses,1,NNS
laid,1,VBN
foundation,1,NN
dimensions,1,NNS
analysis,2,NN
still,1,RB
fundamental,1,JJ
contemporary,2,JJ
distinctions,2,NNS
syntagm,1,VBP
paradigm,1,NN
distinguishing,3,VBG
manifestation,1,NN
49,1,CD
1960s,1,CD
underlies,1,NNS
describing,2,VBG
insofar,1,RB
allow,1,VB
us,2,PRP
deduce,1,VB
underlying,1,VBG
observable,1,JJ
variability,1,NN
opposition,1,NN
school,1,NN
propose,2,VBP
fundamentally,1,RB
analyzed,5,VBN
understood,6,NN
seek,2,NN
operations,2,NNS
performed,1,VBD
carry,2,JJ
interprets,1,NNS
terms,2,NNS
underlie,1,VBP
concerned,2,JJ
52,1,CD
physiological,1,JJ
neural,1,JJ
architecture,1,NN
default,1,NN
sophisticated,1,JJ
capacities,1,NNS
controlling,2,VBG
components,1,NNS
apparatus,3,VBP
acoustically,2,RB
decode,1,JJ
neurological,3,JJ
required,1,VBN
producing,3,VBG
53,1,CD
genetic,1,JJ
bases,2,NNS
stage,1,NN
gene,1,NN
definitely,2,RB
implicated,2,VBD
foxp2,1,JJ
cause,3,NN
kind,3,NN
congenital,1,JJ
disorder,1,NN
affected,5,VBD
mutations,1,NNS
54,1,CD
coordinating,1,VBG
center,1,NN
activity,1,NN
controls,1,VBZ
mechanics,1,NNS
nonetheless,4,RB
knowledge,2,VBP
quite,1,RB
considerably,1,RB
imaging,2,VBG
techniques,2,NNS
dedicated,1,VBN
studying,3,VBG
55,2,CD
work,1,NN
involved,1,VBN
lesions,2,NNS
affect,4,VBP
neuroscientists,1,VBZ
19th,1,CD
discovered,1,VBN
crucially,1,RB
area,10,NN
posterior,2,JJ
section,1,NN
superior,1,JJ
temporal,2,JJ
gyrus,2,NN
dominant,3,JJ
cerebral,1,NN
hemisphere,2,EX
lesion,2,NN
receptive,3,JJ
aphasia,7,NN
condition,2,NN
impairment,2,JJ
comprehension,1,NN
retains,1,VBZ
sounding,1,VBG
rhythm,1,VB
relatively,4,RB
sentence,18,JJ
second,8,JJ
inferior,1,JJ
frontal,1,JJ
expressive,4,NN
know,1,NN
want,1,VBP
say,2,VBP
get,1,VBP
56,1,CD
they,3,PRP
typically,1,RB
said,3,VBD
unable,1,JJ
symptoms,1,NNS
repetition,1,NN
affects,1,VBZ
exhibit,1,RB
ungrammatical,1,JJ
show,3,NN
inability,1,NN
both,1,DT
ways,15,NNS
causing,1,VBG
signers,1,NNS
slowly,1,RB
incorrect,1,VBP
signer,1,NNS
make,2,VBP
little,1,JJ
difficulties,1,NNS
comprehending,1,VBG
shows,1,NNS
physiology,2,VBP
57,1,CD
58,1,CD
with,1,IN
technological,1,JJ
advances,1,NNS
late,2,JJ
neurolinguists,1,NNS
incorporated,1,VBD
invasive,1,JJ
magnetic,1,JJ
resonance,1,NN
fmri,1,NN
electrophysiology,1,NN
individuals,1,NNS
impairments,1,NNS
anatomy,1,VBP
longitudinal,1,JJ
wave,2,NN
propagated,1,VBN
air,3,NN
frequency,2,NN
vibrating,1,VBG
ear,1,JJ
drum,1,NN
organs,3,NNS
lungs,1,JJ
voice,2,NN
box,1,NN
tract,4,NN
throat,1,NN
mouth,3,NN
nose,1,JJ
parts,4,NNS
airstream,1,RB
manipulated,1,VBD
59,1,CD
segmental,2,JJ
suprasegmental,3,NN
represented,2,VBD
alphabetic,1,JJ
scripts,5,NNS
roman,1,VBP
free,3,JJ
flowing,1,VBG
clear,2,JJ
boundaries,2,NNS
segment,1,NN
next,1,IN
audible,3,JJ
pauses,1,NNS
segments,7,NNS
articulations,1,NNS
vowels,8,NNS
consonants,11,NNS
encompass,1,VBP
phonation,1,NN
timbre,1,NN
prosody,1,NN
intonation,1,NN
effects,5,NNS
across,4,IN
multiple,1,JJ
vowel,9,NN
syllables,3,NNS
phonetically,1,RB
space,2,NN
inhalations,1,NNS
characterized,1,VBD
formant,1,JJ
visible,1,JJ
spectrogram,1,NN
recorded,1,VBD
formants,1,NNS
amplitude,1,JJ
peaks,1,NNS
spectrum,1,VBD
61,2,CD
friction,3,NN
caused,2,VBD
narrowing,1,JJ
obstruction,1,NN
part,7,NN
quality,3,NN
lip,1,NN
aperture,2,NN
placement,1,NN
cavity,2,NN
close,3,JJ
pronunciation,7,NN
ee,2,NN
ah,1,NN
if,3,IN
located,1,VBN
towards,2,NNS
changes,9,NNS
creating,3,VBG
u,1,JJ
oo,1,NN
rounded,2,VBD
opposed,2,VBN
unrounded,2,JJ
front,3,JJ
german,2,JJ
62,1,CD
closure,2,NN
consonant,5,JJ
articulation,4,NN
airflow,2,IN
obstructed,1,VBN
teeth,1,NNS
alveolar,1,JJ
ridge,1,NN
palate,1,NN
velum,1,NN
uvula,1,JJ
glottis,1,NN
each,2,DT
produces,1,VBZ
manner,2,CC
full,3,JJ
case,10,NN
occlusive,1,JJ
stop,3,NN
degrees,1,NNS
fricatives,1,VBZ
approximants,1,NNS
voiced,3,VBD
unvoiced,3,JJ
cords,1,NNS
vibration,1,NN
voicing,1,VBG
separates,1,NNS
bus,1,NN
sibilant,2,JJ
z,1,NN
buzz,1,NN
63,1,CD
involve,1,NN
release,1,NN
flow,1,NN
nasal,1,NN
nasals,1,NNS
nasalized,1,VBN
moves,1,NNS
laterals,1,NNS
flows,1,NNS
along,1,IN
sides,1,NNS
r,1,VBP
rhotics,1,NNS
appear,4,VBP
certain,9,JJ
64,1,CD
traditionally,4,RB
connecting,2,VBG
interpreted,2,VBN
semiotics,1,NNS
transmitted,2,VBD
sender,1,JJR
receiver,1,NN
decodes,1,VBZ
65,2,CD
arbitrariness,1,NN
predictable,1,JJ
connection,1,NN
duality,1,NN
built,2,VBN
combining,1,VBG
layered,1,JJ
build,2,JJ
discreteness,1,NN
discrete,4,NN
rearranged,2,VBD
patterns,4,NNS
theoretically,1,RB
combinations,1,NNS
syntax,8,VBP
connected,5,VBN
texts,2,JJ
semantics,4,NNS
66,1,CD
division,1,NN
separate,2,NN
goes,1,VBZ
almost,3,RB
branches,1,NNS
67,1,CD
relating,1,VBG
content,1,NN
something,1,NN
perceived,1,VBD
images,1,NNS
established,3,VBN
historically,1,RB
rather,2,RB
vocabulary,6,JJ
denotes,3,NNS
member,1,NN
canis,1,NN
familiaris,1,JJ
array,1,NN
lexicon,1,NN
lexeme,1,NN
not,1,RB
embedded,1,VBD
68,2,CD
predication,1,NN
predicates,6,NNS
state,4,NN
action,1,NN
interpreters,1,NNS
assign,1,VBP
values,1,NNS
statements,1,NNS
predicate,5,VBP
true,1,JJ
false,1,JJ
entity,3,NN
x,2,NNP
recently,1,RB
model,1,VBD
complemented,1,JJ
incorporate,2,JJ
context,6,NN
such,4,JJ
explored,1,JJ
field,1,NN
graphic,4,JJ
phonology,1,NN
69,1,CD
phonemes,7,NNS
70,1,CD
smallest,1,JJS
distinguish,7,JJ
pair,3,NN
minimally,1,RB
minimal,2,JJ
bat,1,NN
b,6,NN
pat,1,NN
differentiates,1,VBZ
contrasts,1,NNS
phoneme,3,VBP
consequently,1,JJ
pronunciations,3,NNS
would,10,MD
phonemically,1,RB
aspirated,3,JJ
korean,2,JJ
unaspirated,1,JJ
spin,1,NN
sp,1,NN
n,5,JJ
pin,1,NN
merely,1,RB
pronouncing,2,VBG
variants,2,NNS
allophones,1,NNS
difference,4,NN
distinguishes,2,NNS
crouch,1,JJ
eight,1,CD
accent,2,NN
pronounced,1,VBD
high,1,JJ
tone,2,NN
71,2,CD
convey,2,NN
pitch,1,NN
duration,1,NN
operate,1,NN
outside,3,IN
level,2,NN
72,1,CD
rotokas,1,NN
pirah,1,NN
respectively,1,RB
taa,1,VBD
141,1,CD
equivalent,4,JJ
formerly,1,RB
cheremes,1,NNS
hand,3,NN
shape,2,NN
orientation,1,NN
motion,1,NN
correspond,4,NN
manners,1,NNS
73,1,CD
74,1,CD
75,1,CD
alphabet,2,NN
derived,2,VBN
representation,2,NN
denote,1,NN
syllabic,1,JJ
inuktitut,1,NN
syllabary,1,JJ
whole,2,JJ
syllable,1,JJ
logographic,2,JJ
entire,6,JJ
76,1,CD
bear,1,NN
purely,1,RB
arranging,1,VBG
pattern,1,NN
follows,1,VBZ
direction,4,NN
horizontal,1,JJ
axis,1,RB
right,3,JJ
traditional,1,JJ
vertical,1,JJ
dimension,1,NN
top,2,JJ
bottom,1,NN
directions,1,NNS
alternating,1,VBG
lines,1,NNS
maya,2,RB
cues,1,NNS
reader,1,VBP
reading,1,VBG
77,2,CD
international,1,JJ
phonetic,2,JJ
designed,1,VBN
contribute,4,NN
78,1,CD
meaningful,3,JJ
bound,3,NN
moved,2,VBD
utterance,1,JJ
affixes,3,NNS
internal,4,JJ
79,1,CD
80,1,CD
nearly,2,RB
participants,1,NNS
grammatically,2,RB
spatial,2,JJ
person,6,NN
governing,3,VBG
addressees,1,NNS
81,1,CD
organize,1,JJ
classes,6,NNS
positions,1,NNS
prototypically,3,RB
things,2,NNS
actions,4,NNS
song,1,VBP
nouns,7,RB
think,1,VBP
sing,2,VBG
verbs,7,NNS
category,1,JJ
adjective,2,JJ
qualities,1,NNS
red,1,VBD
big,1,JJ
continuously,1,RB
added,1,VBD
class,6,NN
fixed,2,VBN
pronouns,2,VBZ
adjectives,6,NNS
saddened,1,VBD
suffix,4,JJ
situation,2,NN
82,1,CD
differing,1,VBG
arguments,3,NNS
sally,3,RB
runs,2,VBZ
argument,2,JJ
curse,1,NNS
take,3,VBP
cursed,1,VBN
intransitive,4,JJ
transitive,5,JJ
83,1,CD
conjunctions,1,NNS
join,1,VBP
articles,1,NNS
introduce,1,VBP
interjections,1,NNS
wow,1,VBP
ideophones,1,NNS
splash,1,VBP
mimic,1,JJ
positionals,1,NNS
position,5,NN
classifiers,1,NNS
identify,2,VBP
countable,1,JJ
belonging,2,VBG
japanese,1,JJ
classifier,1,JJR
nin,1,JJ
counting,1,NN
whatever,1,WDT
84,1,CD
formed,1,VBN
unexpected,1,JJ
un,1,JJ
expect,1,VBP
ed,1,$
85,1,CD
classified,6,VBN
roots,1,NNS
co,2,VBP
attached,1,VBN
root,6,NN
prefixes,1,NNS
precede,1,VBP
suffixes,1,NNS
infixes,1,NNS
inserted,1,VBD
middle,1,JJ
modify,2,NN
elaborate,2,JJ
change,21,NN
run,4,VB
tense,3,NN
