Words,Word Frequency,Part of Speech
religious,3,JJ
christian,3,JJ
control,3,VBP
resulting,3,VBG
range,3,NN
fungal,3,JJ
bacterial,3,JJ
86,3,CD
english,3,JJ
derived,3,VBN
original,3,JJ
meaning,3,NN
words,3,NNS
17th,3,JJ
middle,3,JJ
ft,3,NN
cm,3,VBP
king,3,NN
exist,3,JJ
growers,3,NNS
due,3,JJ
market,3,NN
especially,3,RB
yellow,3,JJ
tian,3,JJ
shan,3,NN
period,3,NN
time,3,NN
sylvestris,3,NN
similar,3,JJ
10,3,CD
000,3,CD
help,3,NN
resistance,3,NN
desirable,3,JJ
major,3,JJ
considered,3,VBN
thought,3,NN
18,3,CD
soft,3,JJ
selected,3,VBN
carbon,3,NN
bce,3,$
containing,3,VBG
well,3,RB
american,3,JJ
planted,3,VBD
native,3,JJ
24,3,CD
19th,3,CD
20th,3,JJ
atmosphere,3,NN
paganism,3,NN
unn,3,VBP
developed,3,VBD
she,3,PRP
sk,3,NN
fertility,3,NN
notes,3,NNS
instance,3,NN
beautiful,3,JJ
further,3,RBR
phrase,3,NN
for,3,IN
causing,3,VBG
atalanta,3,NN
hippomenes,3,NNS
evil,3,NNS
throat,3,JJ
proverb,3,NN
eat,3,VB
effects,3,NNS
uk,3,JJ
reading,3,NN
group,3,NN
most,3,JJS
other,3,JJ
grow,3,VB
variety,3,NN
local,3,JJ
cox,3,NN
pippin,3,NN
fuji,3,NN
granny,3,NN
smith,3,NN
mcintosh,3,NN
parent,3,NN
seedling,3,VBG
usually,3,RB
later,3,RB
several,3,JJ
minnesota,3,NN
per,3,IN
pollinators,3,NNS
pollen,3,VBN
producers,3,NNS
ethylene,3,RB
ripening,3,VBG
amounts,3,NNS
two,3,CD
quality,3,NN
pesticides,3,NNS
affect,3,NN
content,3,NN
eaten,3,VBZ
consumed,3,JJ
dishes,3,VBZ
causes,3,VBZ
syndrome,3,NN
reaction,3,NN
individuals,3,NNS
domestica,2,NN
worldwide,2,RB
originated,2,JJ
brought,2,VBD
colonists,2,NNS
tradition,2,NN
propagated,2,JJ
500,2,CD
tastes,2,NNS
prone,2,NN
pest,2,NN
2010,2,CD
sequenced,2,VBD
selective,2,JJ
2018,2,CD
million,2,CD
tonnes,2,NNS
total,2,JJ
proto,2,NN
root,2,NN
could,2,MD
general,2,JJ
as,2,IN
generic,2,JJ
term,2,NN
berries,2,NNS
standing,2,VBG
15,2,CD
9,2,CD
when,2,WRB
shape,2,NN
branch,2,NN
density,2,NN
determined,2,VBD
leaves,2,VBZ
green,2,JJ
colored,2,VBN
slightly,2,RB
flowers,2,NNS
white,2,JJ
inflorescence,2,NN
bloom,2,NN
larger,2,JJR
summer,2,NN
autumn,2,IN
wide,2,JJ
sizes,2,VBZ
8,2,CD
preference,2,NN
consumers,2,NNS
making,2,VBG
value,2,NN
ripe,2,NN
russeted,2,VBN
kazakhstan,2,JJ
secondary,2,JJ
introgression,2,NN
open,2,RB
pollinated,2,VBD
crabapples,2,NNS
morphologically,2,RB
progenitor,2,NN
strains,2,NNS
without,2,IN
washington,2,VBP
13,2,CD
using,2,VBG
14,2,CD
highest,2,JJS
understanding,2,VBG
scientists,2,NNS
recognized,2,VBN
center,2,NN
17,2,CD
4000,2,CD
along,2,IN
road,2,NN
baccata,2,NNS
side,2,NN
genetically,2,RB
population,2,NN
eastern,2,JJ
these,2,DT
among,2,IN
color,2,NN
sugar,2,NN
site,2,NN
near,2,IN
around,2,IN
19,2,CD
yet,2,RB
whether,2,IN
ancient,2,JJ
hard,2,JJ
evidence,2,NN
best,2,JJS
particularly,2,RB
orchard,2,JJ
continent,2,NN
farms,2,NNS
allowed,2,VBN
farmers,2,NNS
improved,2,VBN
facilities,2,NNS
keep,2,VBP
round,2,NN
dioxide,2,NN
levels,2,NNS
maintain,2,VBP
they,2,PRP
written,2,VBN
gods,2,NNS
give,2,JJ
r,2,NN
links,2,NNS
points,2,VBZ
28,2,CD
connection,2,NN
vanir,2,NN
given,2,VBN
messenger,2,NN
v,2,NN
frigg,2,NN
sends,2,VBZ
rerir,2,JJ
hero,2,NN
br,2,NN
narson,2,JJ
imply,2,NN
potentially,2,RB
back,2,RB
varieties,2,NNS
garden,2,JJ
hesperides,2,NNS
pick,2,VBP
32,2,CD
33,2,CD
wedding,2,VBG
hera,2,NN
athena,2,NN
thus,2,RB
throw,2,VB
symbolically,2,RB
share,2,NN
name,2,NN
possibly,2,RB
speed,2,NN
race,2,NN
genesis,2,NN
held,2,VBD
eve,2,JJ
latin,2,JJ
lum,2,NN
malum,2,VBP
knowledge,2,NN
good,2,JJ
40,2,CD
story,2,NN
fall,2,NN
sin,2,NN
away,2,RB
traced,2,VBD
vary,2,JJ
ultimate,2,JJ
45,2,CD
temperate,2,JJ
includes,2,VBZ
46,2,CD
database,2,NN
provides,2,VBZ
work,2,NN
producing,2,VBG
typically,2,RB
tart,2,JJ
48,2,CD
crisp,2,JJ
yields,2,NNS
older,2,VBP
49,2,CD
extremely,2,RB
make,2,NN
poor,2,JJ
home,2,NN
taste,2,NN
preserve,2,VB
orange,2,NN
egremont,2,NN
russet,2,NN
yielding,2,VBG
susceptible,2,JJ
black,2,JJ
gala,2,NN
honeycrisp,2,NN
jonagold,2,JJ
transparent,2,JJ
example,2,NN
parents,2,NNS
triploid,2,JJ
barrier,2,NN
chromosomes,2,VBZ
occurs,2,VBZ
seedlings,2,NNS
52,2,CD
breed,2,NN
true,2,JJ
bottom,2,JJ
insect,2,JJ
maturity,2,NN
harvest,2,JJS
area,2,NN
throughout,2,IN
malling,2,VBG
station,2,NN
prefix,2,NN
either,2,CC
bud,2,JJ
sports,2,NNS
wealthy,2,NN
needed,2,VBD
crops,2,NNS
conditions,2,NNS
pollination,2,NN
bees,2,NNS
present,2,JJ
depending,2,VBG
close,2,RB
c,2,NN
difficult,2,JJ
kg,2,VBD
lb,2,JJ
harvested,2,VBD
80,2,CD
chambers,2,NNS
higher,2,JJR
concentrations,2,NNS
preventing,2,VBG
particular,2,JJ
like,2,IN
bark,2,NN
clearwing,2,VBG
water,2,NN
uses,2,VBZ
suitable,2,JJ
pies,2,NNS
butter,2,NN
70,2,CD
products,2,NNS
canned,2,VBD
dried,2,JJ
concentrated,2,VBD
reconstituted,2,VBD
filtered,2,VBN
73,2,CD
forms,2,NNS
phytochemicals,2,NNS
contain,2,VBP
preliminary,2,JJ
74,2,CD
polyphenol,2,NN
oxidase,2,NN
arctic,2,JJ
effect,2,NN
people,2,NNS
allergic,2,VBP
affected,2,JJ
oas,2,NN
cases,2,NNS
threatening,2,VBG
allergen,2,NN
amount,2,NN
cause,2,VBP
adverse,2,JJ
amygdalin,2,NN
cyanide,2,NN
cyanogenic,2,JJ
edible,1,JJ
genus,1,VBP
thousands,1,NNS
mythological,1,JJ
significance,1,NN
cultures,1,NNS
onto,1,IN
desired,1,VBN
means,1,NNS
accounting,1,VBG
nearly,1,RB
half,1,JJ
contents,1,NNS
etymology,1,JJ
formerly,1,RB
spelled,1,VBD
ppel,1,JJ
ap,1,NN
laz,1,NN
mean,1,VB
ultimately,1,RB
indo,1,JJ
ab,1,NN
precise,1,VBP
relationship,1,NN
uncertain,1,RB
functioned,1,VBD
14th,1,CD
appel,1,NN
paradis,1,NN
banana,1,VBD
analogous,1,JJ
french,1,JJ
language,1,NN
pomme,1,JJ
description,1,NN
deciduous,1,JJ
tall,1,JJ
selection,1,NN
trimming,1,VBG
method,1,NN
alternately,1,RB
arranged,1,VBN
dark,1,NN
simple,1,JJ
ovals,1,NNS
serrated,1,VBD
margins,1,NNS
downy,1,VBP
undersides,1,NNS
blossoms,1,NNS
spring,1,VBG
simultaneously,1,RB
budding,1,VBG
spurs,1,NNS
shoots,1,NNS
tinge,1,NN
gradually,1,RB
fades,1,VBZ
five,1,CD
petaled,1,JJ
consisting,1,VBG
cyme,1,NN
flower,1,NN
opens,1,VBZ
matures,1,NNS
aim,1,VBP
diameter,1,NN
japan,1,VBP
prefer,1,VBP
little,1,JJ
russetted,1,VBN
bi,1,JJ
tri,1,NN
wholly,1,RB
partly,1,RB
rough,1,JJ
brown,1,NN
covered,1,VBD
protective,1,JJ
layer,1,NN
epicuticular,1,JJ
wax,1,NN
exocarp,1,NN
flesh,1,JJ
pale,1,JJ
yellowish,1,JJ
exocarps,1,NN
occur,1,JJ
ancestors,1,NNS
southern,1,JJ
kyrgyzstan,1,NN
tajikistan,1,NN
xinjiang,1,NNP
likely,1,RB
beginning,1,VBG
forested,1,VBN
flanks,1,NNS
progressed,1,VBD
permitted,1,VBD
exchange,1,NN
crabapple,1,NN
resulted,1,VBD
current,1,JJ
populations,1,NNS
related,1,JJ
recent,1,JJ
admixture,1,NN
contribution,1,NN
latter,1,NN
predominates,1,VBZ
11,1,CD
12,1,CD
italian,1,JJ
led,1,VBD
consortium,1,NN
announced,1,VBD
complete,1,JJ
collaboration,1,NN
horticultural,1,JJ
genomicists,1,NNS
state,1,NN
studied,1,VBD
date,1,NN
16,1,CD
identify,1,VB
gene,1,NN
variants,1,NNS
contribute,1,VBP
drought,1,NN
behind,1,IN
perform,1,NN
knowledgeable,1,JJ
sequence,1,NN
provided,1,VBD
proof,1,JJ
domestic,1,JJ
issue,1,NN
debated,1,VBD
scientific,1,JJ
community,1,NN
history,1,NN
variability,1,NN
region,1,NN
10000,1,CD
ago,1,RB
travelled,1,VBN
silk,1,NN
hybridization,1,NN
siberia,1,NNS
borkh,1,NNS
caucasus,1,VBP
orientalis,1,JJ
uglitz,1,NN
mill,1,NN
only,1,RB
western,1,JJ
contributed,1,VBD
isolated,1,JJ
chinese,1,JJ
asiatica,1,NNS
prunifolia,1,VBP
2000,1,CD
hybrids,1,NNS
traits,1,NNS
acidity,1,NN
firmness,1,NN
soluble,1,JJ
unusually,1,RB
smaller,1,JJR
at,1,IN
sammardenchia,1,JJ
cueis,1,NN
udine,1,JJ
northeastern,1,JJ
italy,1,JJ
material,1,NN
dated,1,VBN
analysis,1,NN
successfully,1,RB
determine,1,VB
domesticus,1,NN
ancestry,1,NN
distinguish,1,JJ
archeological,1,NN
record,1,NN
foraged,1,VBD
plantations,1,NNS
indirect,1,JJ
third,1,JJ
millennium,1,NN
substantial,1,JJ
classical,1,JJ
antiquity,1,NN
certainly,1,RB
essential,1,JJ
able,1,JJ
propagate,1,NN
unclear,1,JJ
invented,1,VBN
picked,1,VBD
freezing,1,NN
millennia,1,NN
21,1,CD
of,1,IN
plants,1,NNS
spanish,1,JJ
chilo,1,NN
archipelago,1,RB
16th,1,CD
adapted,1,VBN
22,1,CD
boston,1,JJ
reverend,1,NN
william,1,NN
blaxton,1,NN
1625,1,CD
23,1,CD
crab,1,NN
spread,1,JJ
trade,1,NN
routes,1,NNS
colonial,1,JJ
1845,1,CD
nursery,1,RB
catalogue,1,VBP
sold,1,VBN
350,1,CD
showing,1,VBG
proliferation,1,NN
irrigation,1,NN
projects,1,NNS
began,1,VBD
development,1,NN
multibillion,1,NN
dollar,1,NN
industry,1,NN
leading,1,VBG
product,1,NN
until,1,IN
frostproof,1,VBP
cellars,1,NNS
sale,1,NN
transportation,1,NN
train,1,NN
replaced,1,VBD
necessity,1,JJ
25,1,CD
26,1,CD
humidity,1,NN
oxygen,1,NN
freshness,1,NN
1960s,1,CD
27,1,CD
society,1,NN
culture,1,NN
portrayed,1,VBN
prose,1,JJ
edda,1,NNS
13th,1,CD
snorri,1,NNS
sturluson,1,JJ
providing,1,VBG
eternal,1,JJ
youthfulness,1,NN
scholar,1,NN
h,1,NN
ellis,1,FW
practices,1,NNS
buckets,1,NNS
oseberg,1,JJ
ship,1,JJ
burial,1,JJ
norway,1,NN
described,1,VBD
transformed,1,JJ
nut,1,JJ
ldskaparm,1,NN
graves,1,NNS
peoples,1,NNS
elsewhere,1,RB
symbolic,1,JJ
southwest,1,VBP
tribe,1,NN
associated,1,VBN
citing,1,VBG
eleven,1,RB
woo,1,RP
ger,1,NN
rnir,1,NN
acting,1,VBG
god,1,NN
freyr,1,NN
stanzas,1,VBD
rnism,1,NN
chapter,1,NN
lsunga,1,NN
saga,1,NN
prays,1,NNS
odin,1,VBP
child,1,JJ
guise,1,NN
crow,1,NN
drops,1,VBZ
lap,1,JJ
sits,1,NNS
atop,1,VBP
mound,1,NN
29,1,CD
wife,1,NN
results,1,NNS
six,1,CD
pregnancy,1,JJ
caesarean,1,JJ
section,1,NN
birth,1,NN
son,1,NN
lsung,1,NN
strange,1,JJ
hel,1,VBD
11th,1,CD
poem,1,NN
skald,1,NN
thorbiorn,1,JJ
dead,1,JJ
nehalennia,1,JJ
depicted,1,JJ
parallels,1,NNS
irish,1,JJ
stories,1,NNS
asserts,1,VBZ
extends,1,VBZ
least,1,JJ
roman,1,NN
empire,1,NN
came,1,VBD
bitter,1,JJ
concludes,1,NNS
figure,1,NN
dim,1,VB
reflection,1,NN
guardian,1,JJ
giving,1,VBG
appear,1,JJ
traditions,1,NNS
mystical,1,JJ
identifying,1,VBG
religion,1,NN
folktales,1,NNS
foreign,1,JJ
31,1,CD
heracles,1,NNS
twelve,1,VBP
labours,1,NNS
required,1,VBN
travel,1,VBP
34,1,CD
discord,1,NN
eris,1,NN
disgruntled,1,VBD
excluded,1,VBD
peleus,1,NN
thetis,1,NN
35,1,CD
retaliation,1,NN
tossed,1,VBD
inscribed,1,JJ
kalliste,1,NN
transliterated,1,VBD
kallisti,1,NNP
party,1,NN
goddesses,1,NNS
claimed,1,VBD
paris,1,NN
troy,1,NN
appointed,1,VBD
select,1,JJ
recipient,1,NN
after,1,IN
bribed,1,VBN
tempted,1,JJ
woman,1,NN
helen,1,NN
sparta,1,NN
he,1,PRP
awarded,1,VBD
indirectly,1,RB
trojan,1,JJ
war,1,NN
36,1,CD
greece,1,NN
sacred,1,VBD
to,1,TO
someone,1,NN
declare,1,JJ
similarly,1,RB
catch,1,VB
show,1,NN
acceptance,1,NN
epigram,1,NN
claiming,1,VBG
authorship,1,NN
plato,1,NN
37,1,CD
willing,1,JJ
girlhood,1,NN
thoughts,1,NNS
pray,1,NN
consider,1,VB
short,1,JJ
lived,1,VBN
beauty,1,NN
raced,1,VBD
suitors,1,NNS
attempt,1,VB
avoid,1,JJ
marriage,1,NN
outran,1,NN
melanion,1,NN
melon,1,RB
defeated,1,VBN
cunning,1,VBG
knew,1,VBD
win,1,JJ
fair,1,JJ
gifts,1,NNS
distract,1,JJ
took,1,VBD
finally,1,RB
successful,1,JJ
winning,1,VBG
hand,1,NN
art,1,RB
eden,1,JJ
book,1,NN
identified,1,VBD
coaxed,1,NN
identification,1,NN
unknown,1,JJ
biblical,1,JJ
confusion,1,VBP
normally,1,RB
39,1,CD
bonum,1,NN
et,1,VBP
renaissance,1,NN
painters,1,NNS
influenced,1,VBD
result,1,NN
immortality,1,NN
temptation,1,NN
man,1,NN
larynx,1,VBZ
notion,1,NN
caused,1,VBD
remaining,1,VBG
sexual,1,JJ
seduction,1,NN
sexuality,1,NN
ironic,1,JJ
vein,1,NN
keeps,1,VBZ
addressing,1,VBG
supposed,1,VBN
benefits,1,NNS
wales,1,NNS
going,1,VBG
bed,1,IN
earning,1,VBG
bread,1,JJ
41,1,CD
evolved,1,JJ
pay,1,NN
phrasing,1,VBG
recorded,1,VBN
1922,1,CD
42,1,CD
despite,1,IN
daily,1,JJ
43,1,CD
44,1,CD
available,1,JJ
subtropical,1,JJ
climates,1,NNS
responsibility,1,NN
department,1,NN
environment,1,NN
rural,1,JJ
affairs,1,NNS
kent,1,JJ
responsible,1,JJ
developing,1,VBG
access,1,NN
search,1,NN
cooperative,1,JJ
programme,1,JJ
resources,1,NNS
countries,1,NNS
participating,1,VBG
pyrus,1,NN
47,1,CD
contains,1,VBZ
much,1,JJ
information,1,NN
alternative,1,JJ
names,1,NNS
essentially,1,RB
specifically,1,RB
astringent,1,NN
beverage,1,NN
rich,1,JJ
qualities,1,NNS
colorful,1,JJ
absence,1,NN
russeting,1,VBG
ease,1,NN
shipping,1,VBG
lengthy,1,JJ
ability,1,NN
sweeter,1,RB
varied,1,JJ
americans,1,NNS
europeans,1,NNS
favor,1,VBP
subacid,1,NN
strong,1,JJ
minority,1,NN
following,1,VBG
barely,1,RB
acid,1,JJ
indian,1,JJ
subcontinent,1,NN
oddly,1,RB
shaped,1,VBD
textures,1,NNS
colors,1,NNS
find,1,VBP
better,1,JJR
50,1,CD
unviable,1,JJ
susceptibility,1,NN
tolerance,1,NN
transport,1,NN
wrong,1,VBD
scale,1,NN
preserved,1,VBD
gardeners,1,NNS
sell,1,VBP
directly,1,RB
markets,1,NNS
unusual,1,JJ
locally,1,RB
unique,1,JJ
appearance,1,NN
conservation,1,NN
campaigns,1,NNS
sprung,1,VBP
extinction,1,NN
kingdom,1,NN
standards,1,NNS
alice,1,NN
ambrosia,1,NN
ananasrenette,1,NN
arkansas,1,JJ
aroma,1,NN
belle,1,NN
de,1,IN
boskoop,1,FW
bramley,1,NN
pomona,1,NN
discovery,1,NN
goldrenette,1,NN
reinette,1,NN
james,1,NNS
grieve,1,VBP
lobo,1,NN
pacific,1,NN
rose,1,VBD
lady,1,JJ
sampion,1,NN
shampion,1,NN
stark,1,NN
sugarbee,1,NN
summerred,1,VBD
readily,1,RB
however,1,RB
perennial,1,JJ
asexually,1,RB
obtain,1,VB
sweetness,1,JJ
extreme,1,JJ
heterozygotes,1,VBZ
rather,1,RB
inheriting,1,JJ
create,1,VBP
parental,1,JJ
instead,1,RB
significantly,1,RB
perhaps,1,RB
compete,1,JJ
51,1,CD
additional,1,JJ
reproductive,1,JJ
sets,1,NNS
divided,1,VBN
evenly,1,RB
meiosis,1,NN
unequal,1,JJ
segregation,1,NN
aneuploids,1,NNS
case,1,NN
infrequently,1,RB
rarely,1,RB
survive,1,VBP
because,1,IN
although,1,IN
cuttings,1,NNS
live,1,VBP
graft,1,NN
changing,1,VBG
hardiness,1,NN
soil,1,NN
less,1,CC
0,1,CD
earlier,1,RBR
cycle,1,NN
full,1,JJ
easier,1,JJR
53,1,CD
far,1,RB
300,1,CD
persia,1,NN
minor,1,JJ
alexander,1,NN
great,1,JJ
sent,1,VBD
samples,1,NNS
aristotle,1,RB
lyceum,1,VBP
15th,1,CD
went,1,VBD
cycles,1,NNS
popularity,1,NN
decline,1,VBP
54,1,CD
majority,1,NN
1900s,1,CD
conducted,1,VBD
extensive,1,JJ
designate,1,NN
marked,1,VBD
mm,1,JJ
series,1,NN
crossed,1,VBD
spy,1,JJ
merton,1,NN
55,1,CD
originate,1,NN
arise,1,NN
chance,1,NN
deliberately,1,RB
crossing,1,VBG
promising,1,VBG
56,1,CD
kernel,1,NNS
suggest,1,VBP
mutations,1,NNS
single,1,JJ
turn,1,VBP
differ,1,VBP
sufficiently,1,RB
since,1,IN
1930s,1,CD
excelsior,1,JJ
experiment,1,NN
steady,1,JJ
progression,1,NN
orchardists,1,VBZ
wisconsin,1,VBP
its,1,PRP$
contributions,1,NNS
included,1,VBD
haralson,1,NN
honeygold,1,VBD
acclimatized,1,JJ
ecuador,1,NN
altitudes,1,NNS
factors,1,NNS
provide,1,VBP
twice,1,RB
constant,1,JJ
58,1,CD
self,1,NN
incompatible,1,JJ
cross,1,NN
pollinate,1,NN
during,1,IN
flowering,1,VBG
season,1,NN
utilize,1,JJ
carry,1,VBP
honey,1,NN
mason,1,VBP
supplemental,1,JJ
bumblebee,1,NN
queens,1,VBZ
sufficient,1,JJ
59,1,CD
four,1,CD
seven,1,CD
groups,1,NNS
climate,1,NN
compatible,1,JJ
b,1,JJ
d,1,NN
60,1,CD
classified,1,JJ
peak,1,JJ
average,1,JJ
blossom,1,NN
pollenizers,1,NNS
within,1,IN
overlap,1,JJ
maturation,1,NN
left,1,VBD
unpruned,1,JJ
letting,1,VBG
harvesting,1,VBG
unit,1,NN
surface,1,NN
mature,1,NN
200,1,CD
90,1,CD
440,1,CD
productivity,1,NN
zero,1,NN
point,1,NN
ladders,1,NNS
designed,1,VBN
fit,1,JJ
amongst,1,NN
branches,1,NNS
grafted,1,VBD
dwarfing,1,VBG
180,1,CD
public,1,JJ
61,1,CD
ripen,1,JJ
according,1,VBG
crop,1,NN
supreme,1,JJ
primate,1,NN
bough,1,IN
duchess,1,NN
chenango,1,VBP
gravenstein,1,NN
snow,1,JJ
blenheim,1,NN
winesap,1,NN
wagener,1,NN
swayzie,1,VBD
greening,1,VBG
tolman,1,JJ
months,1,NNS
delay,1,VBP
induced,1,JJ
air,1,VBP
filtration,1,NN
prevents,1,NNS
rising,1,VBG
occurring,1,VBG
quickly,1,RB
approximately,1,RB
weeks,1,NNS
kept,1,VBD
coolest,1,JJS
refrigerator,1,NN
degradation,1,NN
dubious,1,JJ
discuss,1,NN
62,1,CD
verification,1,NN
g,1,NN
others,1,NNS
63,1,CD
sprayed,1,JJ
methylcyclopropene,1,NN
blocking,1,VBG
receptors,1,NNS
temporarily,1,RB
64,1,CD
pursue,1,JJ
program,1,NN
chemical,1,NN
sprays,1,NNS
prohibit,1,VBP
synthetic,1,JJ
methods,1,NNS
introducing,1,VBG
natural,1,JJ
predator,1,NN
reduce,1,VB
mildew,1,NN
aphids,1,NNS
scab,1,VBP
serious,1,JJ
fireblight,1,JJ
gymnosporangium,1,NN
rust,1,NN
spot,1,NN
66,1,CD
codling,1,VBG
moths,1,NNS
maggots,1,NNS
young,1,JJ
mammal,1,VBP
mice,1,NNS
deer,1,VBP
feed,1,VBN
67,1,CD
larvae,1,NN
moth,1,CC
belted,1,VBN
burrow,1,NN
phloem,1,NN
damage,1,NN
68,1,CD
poland,1,NN
nutrition,1,NN
carbohydrates,1,VBZ
negligible,1,JJ
fat,1,NN
reference,1,NN
serving,1,VBG
weighing,1,VBG
100,1,CD
grams,1,JJ
calories,1,NNS
moderate,1,VBP
dietary,1,JJ
fiber,1,NN
69,1,CD
otherwise,1,NN
micronutrients,1,NNS
all,1,DT
parts,1,NNS
except,1,IN
core,1,NN
stem,1,NN
discarded,1,VBN
ways,1,NNS
salads,1,NNS
sauces,1,NNS
spreads,1,NNS
techniques,1,NNS
eventually,1,RB
bottled,1,VBN
termed,1,JJ
ingredient,1,NN
desserts,1,NNS
pie,1,VBP
crumble,1,JJ
cake,1,VBP
easily,1,RB
puree,1,JJ
sauce,1,NN
made,1,VBD
jelly,1,RB
stewed,1,JJ
meat,1,NN
soaked,1,JJ
alcohol,1,NN
liquid,1,NN
milled,1,VBD
pressed,1,JJ
drunk,1,NN
unfiltered,1,VBD
fermented,1,JJ
ciderkin,1,NN
vinegar,1,NN
through,1,IN
distillation,1,NN
alcoholic,1,JJ
beverages,1,NNS
applejack,1,VBP
calvados,1,JJ
apfelwein,1,RB
71,1,CD
72,1,CD
infestations,1,NNS
key,1,JJ
insects,1,NNS
chemicals,1,NNS
sulfur,1,JJ
copper,1,NN
microorganisms,1,NN
viruses,1,NNS
clay,1,VBP
powders,1,NNS
extracts,1,NNS
pyrethrum,1,VBP
neem,1,RB
approved,1,VBN
eu,1,JJ
committee,1,NN
improve,1,VB
light,1,NN
coating,1,VBG
kaolin,1,NN
physical,1,JJ
prevent,1,NN
sun,1,NN
scalding,1,VBG
skins,1,NNS
polyphenols,1,NNS
potential,1,JJ
enzyme,1,NN
sliced,1,VBN
bruised,1,JJ
catalyzing,1,VBG
oxidation,1,NN
phenolic,1,JJ
compounds,1,VBZ
quinones,1,NNS
factor,1,NN
75,1,CD
reduces,1,NNS
2019,1,CD
modified,1,VBD
silence,1,NN
expression,1,NN
thereby,1,RB
delaying,1,VBG
improving,1,VBG
76,1,CD
77,1,CD
us,1,PRP
drug,1,NN
administration,1,NN
2015,1,CD
canadian,1,JJ
inspection,1,NN
agency,1,NN
2017,1,CD
safe,1,JJ
nutritious,1,JJ
conventional,1,JJ
78,1,CD
79,1,CD
oil,1,NN
obtained,1,VBN
pressing,1,VBG
manufacturing,1,NN
cosmetics,1,NNS
investigating,1,VBG
risk,1,NN
types,1,NNS
cancer,1,NN
81,1,CD
triggered,1,VBD
allergies,1,NNS
vegetables,1,NNS
entail,1,VBP
oral,1,JJ
involve,1,VBP
itching,1,VBG
inflammation,1,NN
mouth,1,NN
rare,1,JJ
anaphylaxis,1,RB
83,1,CD
neutralized,1,JJ
process,1,NN
change,1,NN
individual,1,JJ
increase,1,NN
proteins,1,NNS
areas,1,NNS
mediterranean,1,JJ
similarity,1,NN
peaches,1,NNS
severe,1,JJ
symptoms,1,NNS
vomiting,1,VBG
abdominal,1,JJ
pain,1,NN
urticaria,1,JJ
break,1,NN
freshly,1,JJ
tend,1,JJ
efforts,1,NNS
hypoallergenic,1,JJ
toxicity,1,NN
compound,1,NN
glycoside,1,NN
